Exchange,Symbol,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Longbusinesssummary,Weight
NYQ,RF,Regions Financial Corporation,Regions Financial Corporation,Financial Services,Banks - Regional,19.41,17841438720,,0.156,Birmingham,AL,United States,20101,"Regions Financial Corporation, a financial holding company, provides banking and bank-related services to individual and corporate customers. It operates through three segments: Corporate Bank, Consumer Bank, and Wealth Management. The Corporate Bank segment offers commercial banking services, such as commercial and industrial, commercial real estate, and investor real estate lending; equipment lease financing; deposit products; and securities underwriting and placement, loan syndication and placement, foreign exchange, derivatives, merger and acquisition, and other advisory services. It serves corporate, middle market, and commercial real estate developers and investors. The Consumer Bank segment provides consumer banking products and services related to residential first mortgages, home equity lines and loans, consumer credit cards, and other consumer loans, as well as deposits. The Wealth Management segment offers credit related products, and retirement and savings solutions; and trust and investment management, asset management, and estate planning services to individuals, businesses, governmental institutions, and non-profit entities. It also provides investment and insurance products; low-income housing tax credit corporate fund syndication services; and other specialty financing services. The company was founded in 1971 and is headquartered in Birmingham, Alabama.",0.0003683606202656269
NYQ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,504.52,17571825664,872108032,0.031,Ann Arbor,MI,United States,6500,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pastas, boneless chicken and chicken wings, breads and dips, desserts, and soft drink products, as well as loaded tots and pepperoni stuffed cheesy breads. Domino's Pizza, Inc. was founded in 1960 and is headquartered in Ann Arbor, Michigan.",0.0003627940942640808
NYQ,TYL,"Tyler Technologies, Inc.","Tyler Technologies, Inc.",Technology,Software - Application,412.86,17521240064,323408000,0.063,Plano,TX,United States,7300,"Tyler Technologies, Inc. provides integrated information management solutions and services for the public sector. It operates in two segments, Enterprise Software and Platform Technologies. The company offers platform and transformative technology solutions, including cybersecurity for government agencies; data and insights solutions; digital solutions that helps workers and policymakers to share, communicate, and leverage data; payments solutions, such as billing, presentment, merchant onboarding, collections, reconciliation, and disbursements; platform technologies, an application development platform that enables government workers to build solutions and applications; and outdoor recreation solutions, including campsite reservations, activity registrations, licensing sales and renewals, and real-time data for conservation and park management. It also provides public administration solutions, such as civic services; financial applications with human resources, revenue management, tax billing, utilities, asset management, and payment processing; property and recording service that manages appraisal services, valuation, tax billing and collections, assessment administration, and land and official records; and permitting, licensing, and regulatory management solutions. In addition, the company offers courts and public safety solutions; school ERP and student transportation solutions for K-12 schools; and health and human services solutions. Further, the company offers software as a service arrangements and electronic document filing solutions for courts; software and hardware installation, data conversion, training, product modification, and maintenance and support services; and property appraisal outsourcing services for taxing jurisdictions. Tyler Technologies, Inc. has a strategic collaboration agreement with Amazon Web Services for cloud hosting services. The company was founded in 1966 and is headquartered in Plano, Texas.",0.00036174968617093634
NYQ,CNP,"CenterPoint Energy, Inc (Holdin","CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,27.58,17460815872,2972000000,-0.195,Houston,TX,United States,8827,"CenterPoint Energy, Inc. operates as a public utility holding company in the United States. The company operates through two segments, Electric and Natural Gas. The Electric segment includes electric transmission and distribution services to electric customers and electric generation assets, as well as optimizes assets in the wholesale power market. The Natural Gas segment engages in the intrastate natural gas sales, and natural gas transportation and distribution for residential, commercial, industrial and institutional customers in Indiana, Louisiana, Minnesota, Mississippi, Ohio, and Texas; permanent pipeline connections through interconnects with various interstate and intrastate pipeline companies; and provides maintenance and repair services of home appliances to customers in Minnesota and home repair protection plans to natural gas customers in Indiana, Mississippi, Ohio, and Texas through a third party. It serves approximately 2,534,730 metered customers; owned 348 substations with transformer capacity of 79,719 megavolt amperes; and owned and operated 217 miles of intrastate pipeline in Louisiana and Texas. The company was founded in 1866 and is headquartered in Houston, Texas.",0.0003605021470462346
NYQ,VTR,"Ventas, Inc.","Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,43.17,17374283776,1772999040,0.135,Chicago,IL,United States,486,"Ventas Inc. (NYSE: VTR) is a leading S&P 500 real estate investment trust focused on delivering strong, sustainable shareholder returns by enabling exceptional environments that benefit a large and growing aging population. The Company's growth is fueled by its senior housing communities, which provide valuable services to residents and enable them to thrive in supported environments. Ventas leverages its unmatched operational expertise, data-driven insights from its Ventas Operational InsightsTM platform, extensive relationships and strong financial position to achieve its goal of delivering outsized performance across approximately 1,400 properties. The Ventas portfolio is composed of senior housing communities, outpatient medical buildings, research centers and healthcare facilities in North America and the United Kingdom. The Company benefits from a seasoned team of talented professionals who share a commitment to excellence, integrity and a common purpose of helping people live longer, healthier, happier lives.",0.00035871557495103053
NYQ,LH,Laboratory Corporation of Ameri,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,206.5,17371998208,1618599936,0.035,Burlington,NC,United States,56950,"Laboratory Corporation of America Holdings operates as a life sciences company that provides vital information to help doctors, hospitals, pharmaceutical companies, researchers, and patients make clear and confident decisions. It operates in two segments, Labcorp Diagnostics (Dx) and Biopharma Laboratory Services (BLS). The company offers various tests, such as blood chemistry analyses, urinalyses, blood cell counts, thyroid tests, PAP tests, hemoglobin A1C and vitamin D, prostate-specific antigens, tests for sexually transmitted diseases, hepatitis C tests, microbiology cultures and procedures, and alcohol and other substance-abuse tests. It also provides specialty testing services comprising gene-based and esoteric testing; advanced tests target specific diseases; services related to anatomic pathology/oncology, cardiovascular disease, coagulation, diagnostic genetics, endocrinology, infectious disease, women's health, pharmacogenetics, parentage and donor testing, occupational testing services, medical drug monitoring services, chronic disease programs, and kidney stone prevention tests; and health and wellness services to employers and managed care organizations (MCOs), including health fairs, on-site and at-home testing, vaccinations, and health screenings. In addition, the company offers online and mobile applications that enable patients to check test results; online applications for providers, MCOs, and accountable care organizations; and drug development, medical device, and companion diagnostic development solutions from early-stage research to clinical development, as well as support for crop protection and chemical testing. It serves pharmaceutical, biotechnology, medical device, and diagnostics companies; and MCOs, employer plans, other health insurance providers, governmental agencies, physicians and other healthcare providers, hospitals and health systems, employers, patients and consumers, contract research organizations, crop protection and chemical companies, academic institutions, independent clinical laboratories, and retailers. The company was incorporated in 1994 and is headquartered in Burlington, North Carolina.",0.0003586683863100609
NMS,NTRS,Northern Trust Corporation,Northern Trust Corporation,Financial Services,Asset Management,84.93,17327335424,,0.013,Chicago,IL,United States,23100,"Northern Trust Corporation, a financial holding company, provides wealth management, asset servicing, asset management, and banking solutions for corporations, institutions, families, and individuals worldwide. It operates in two segments, Asset Servicing and Wealth Management. The Asset Servicing segment offers asset servicing and related services, including custody, fund administration, investment operations outsourcing, investment management, investment risk and analytical services, employee benefit services, securities lending, foreign exchange, treasury management, brokerage services, transition management services, banking, and cash management services. This segment serves corporate and public retirement funds, foundations, endowments, fund managers, insurance companies, sovereign wealth funds, and other institutional investors. The Wealth Management segment offers trust, investment management, custody, and philanthropic; financial consulting; guardianship and estate administration; family business consulting; family financial education; brokerage services; and private and business banking services. This segment serves high-net-worth individuals and families, business owners, executives, professionals, retirees, and established privately held businesses. The company also provides asset management services, such as active and passive equity; active and passive fixed income; cash management; muti-asset and alternative asset classes comprising private equity and hedge funds of funds; and multi-manager advisory services and products through separately managed accounts, bank common and collective funds, registered investment companies, exchange traded funds, non-U.S. collective investment funds, and unregistered private investment funds. In addition, it offers overlay and other risk management services. Northern Trust Corporation was founded in 1889 and is headquartered in Chicago, Illinois.",0.00035774626275964416
NYQ,AVY,Avery Dennison Corporation,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,215.0,17311885312,1270899968,0.042,Mentor,OH,United States,35000,"Avery Dennison Corporation operates as a materials science and digital identification solutions company in the United States, Europe, the Middle East, North Africa, Asia, Latin, America, and internationally. It provides pressure-sensitive materials comprising papers, plastic films, metal foils, and fabrics; performance tapes products, including tapes for wire harnessing, as well as cable wrapping for automotive, electrical, and general industrial applications; mechanical fasteners, which are precision-extruded and injection-molded plastic devices used in various automotive, general industrial, and retail applications; and other pressure-sensitive adhesive-based materials and converted products under the Fasson, JAC, Yongle, and Avery Dennison brands. The company also offers graphics and reflective products for the architectural, commercial sign, digital printing, and other related market segments; durable cast and reflective films to the construction, automotive, and fleet transportation market segments; reflective films for traffic and safety applications; and pressure-sensitive vinyl and specialty materials designed for digital imaging, screen printing, and sign cutting applications under the Avery Dennison and Mactac brand names. In addition, it provides branding solutions include brand embellishments, graphic tickets, tags, and labels, and sustainable packaging; and information solutions include item-level RFID, visibility and loss prevention, price ticketing and marking, productivity and media solutions, and brand protection and security solutions, as well as care, content, and country of origin compliance solutions. It serves home and personal care, apparel, e-commerce, logistics, food and grocery, pharmaceuticals, and automotive industries. The company was formerly known as Avery International Corporation and changed its name to Avery Dennison Corporation in 1990. Avery Dennison Corporation was founded in 1935 and is headquartered in Mentor, Ohio.",0.0003574272743120862
NYQ,CMS,CMS Energy Corporation,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,57.88,17284009984,2470000128,-0.144,Jackson,MI,United States,8356,"CMS Energy Corporation operates as an energy company primarily in Michigan. The company operates through three segments: Electric Utility; Gas Utility; and Enterprises. The Electric Utility segment is involved in the generation, purchase, transmission, distribution, and sale of electricity. This segment generates electricity through coal, wind, gas, renewable energy, oil, and nuclear sources. Its distribution system comprises 208 miles of high-voltage distribution overhead lines; 4 miles of high-voltage distribution underground lines; 4,428 miles of high-voltage distribution overhead lines; 19 miles of high-voltage distribution underground lines; 82,474 miles of electric distribution overhead lines; 9,395 miles of underground distribution lines; 1,093 substations; and 3 battery facilities. The Gas Utility segment engages in the purchase, transmission, storage, distribution, and sale of natural gas, which includes 2,392 miles of transmission lines; 15 gas storage fields; 28,065 miles of distribution mains; and 8 compressor stations. The Enterprises segment is involved in the independent power production and marketing, including the development and operation of renewable generation. It serves 1.9 million electric and 1.8 million gas customers, including residential, commercial, and diversified industrial customers. The company was incorporated in 1987 and is headquartered in Jackson, Michigan.",0.0003568517504839166
NYQ,ATO,Atmos Energy Corporation,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,114.38,17253079040,1777826944,-0.219,Dallas,TX,United States,5019,"Atmos Energy Corporation, together with its subsidiaries, engages in the regulated natural gas distribution, and pipeline and storage businesses in the United States. It operates through two segments, Distribution, and Pipeline and Storage. The Distribution segment is involved in the regulated natural gas distribution and related sales operations in eight states. This segment distributes natural gas to approximately 3.3 million residential, commercial, public authority, and industrial customers; and owned 73,689 miles of underground distribution and transmission mains. The Pipeline and Storage segment engages in the pipeline and storage operations. This segment transports natural gas for third parties and manages five underground storage facilities in Texas; provides ancillary services customary to the pipeline industry, including parking arrangements, lending, and inventory sales; and owned 5,645 miles of gas transmission lines. Atmos Energy Corporation was founded in 1906 and is headquartered in Dallas, Texas.",0.00035621313933287366
NYQ,BBY,"Best Buy Co., Inc.","Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,80.01,17232633856,2649999872,-0.006,Richfield,MN,United States,85000,"Best Buy Co., Inc. engages in the retail of technology products in the United States, Canada, and international. Its stores provide computing and mobile phone products, such as desktops, notebooks, and peripherals; mobile phones comprising related mobile network carrier commissions; networking products; tablets covering e-readers; smartwatches; and consumer electronics consisting of digital imaging, health and fitness products, portable audio comprising headphones and portable speakers, and smart home products, as well as home theaters, which includes home theater accessories, soundbars, and televisions. The company's stores also offer appliances, such as dishwashers, laundry, ovens, refrigerators, blenders, coffee makers, vacuums, and personal care; entertainment products consisting of drones, peripherals, movies, and toys, as well as hardware and software, and virtual reality and other software products; and other products, such as baby, food and beverage, luggage, outdoor living, and sporting goods. In addition, it provides delivery, installation, memberships, repair, set-up, technical support, health-related, and warranty-related services. The company offers its products through stores and websites under the Best Buy, Best Buy Ads, Best Buy Business, Best Buy Health, Buy Mobile, CST, Current Health, Geek Squad, Lively, Magnolia, Pacific Kitchen, Home, TechLiquidators, and Yardbird brands, as well as domain names comprising bestbuy.com, currenthealth.com, lively.com, techliquidators.com, yardbird.com, and bestbuy.ca. The company was formerly known as Sound of Music, Inc. Best Buy Co., Inc. was incorporated in 1966 and is headquartered in Richfield, Minnesota.",0.0003557910208715837
NYQ,LDOS,"Leidos Holdings, Inc.","Leidos Holdings, Inc.",Technology,Information Technology Services,126.64,17099693056,1632999936,0.077,Reston,VA,United States,47000,"Leidos Holdings, Inc., together with its subsidiaries, provides services and solutions in the defense, intelligence, civil, and health markets in the United States and internationally. The company operates through Defense Solutions, Civil, and Health segments. The Defense Solutions segment offers national security solutions and systems for air, land, sea, space, and cyberspace for the U.S. Intelligence Community, the Department of Defense, the space development agency, the National Aeronautics and Space Administration, defense information systems agency, military services, and government agencies of U.S. allies abroad, as well as other federal and commercial customers in the national security industry. The solutions include technology, large-scale systems, command and control platforms, data analytics, logistics, and cybersecurity solutions, as well as intelligence analysis and operations support services to critical missions. The Civil segment provides systems integration services to air navigation service providers, including the federal aviation administration, the En route automation modernization, advanced technology oceanic procedure, time based flow management, terminal flight data management, geo-7, and future flight services, as well as enterprise-information display systems; and security detection services. It also offers information technology (IT) solutions in cloud computing, mobility, application modernization, DevOps, data center, network modernization, asset management, help desk operations, and digital workplace enablement; and environment, energy, and infrastructure services. The Health segment offers solutions to federal and commercial customers responsible for health and well-being of people, include health information management, managed health, digital modernization, and life sciences research and development services. Leidos Holdings, Inc. was founded in 1969 and is headquartered in Reston, Virginia.",0.00035304627834744447
NYQ,LUV,Southwest Airlines Company,Southwest Airlines Co.,Industrials,Airlines,28.52,17062232064,2155000064,0.105,Dallas,TX,United States,74806,"Southwest Airlines Co. operates as a passenger airline company that provides scheduled air transportation services in the United States and near-international markets. As of December 31, 2023, the company operated a total fleet of 817 Boeing 737 aircraft; and served 121 destinations in 42 states, the District of Columbia, and the Commonwealth of Puerto Rico, as well as ten near-international countries, including Mexico, Jamaica, the Bahamas, Aruba, the Dominican Republic, Costa Rica, Belize, Cuba, the Cayman Islands, and Turks and Caicos. It also provides inflight entertainment and connectivity services on Wi-Fi enabled aircraft; and Rapid Rewards loyalty program that enables program members to earn points for dollars spent on Southwest base fares. In addition, the company offers a suite of digital platforms to support customers' travel needs, including websites and apps; and SWABIZ, an online booking tool. Further, it provides ancillary services, such as Southwest's EarlyBird Check-In, upgraded boarding, and transportation of pets and unaccompanied minors. Southwest Airlines Co. was incorporated in 1967 and is headquartered in Dallas, Texas.",0.00035227284552818327
NMS,TER,"Teradyne, Inc.","Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,109.46,16946816000,627571968,-0.084,North Reading,MA,United States,6500,"Teradyne, Inc. designs, develops, manufactures, and sells automated test systems and robotics products worldwide. It operates through four segments; Semiconductor Test, System Test, Robotics, and Wireless Test. The Semiconductor Test segment offers products and services for wafer level and device package testing of semiconductor devices in automotive, industrial, communications, consumer, smartphones, cloud, computer and electronic game, and other applications. This segment also provides FLEX test platform systems; J750 test system to address the volume semiconductor devices, including microcontrollers; Magnum platform that tests memory devices, such as flash memory and DRAM; and ETS platform for semiconductor manufacturers, and assembly and test subcontractors in the analog/mixed signal markets. It serves integrated device manufacturers that integrate the fabrication of silicon wafers into their business; fabless companies that outsource the manufacturing of silicon wafers; foundries; and semiconductor assembly and test providers. The System Test segment offers defense/aerospace test instrumentation and systems; storage and system level test systems; and circuit-board test and inspection systems. The Wireless Test segment provides wireless test solutions for silicon validation, wireless module manufacturing, and wireless end device manufacturing under the LitePoint brand. This segment also offers IQxel-MX and IQxel-MW7G series products for edge measurement performance in the manufacturing of connectivity products; IQxstream-5G and IQgig-5G family products to support 4G and 5G technologies; and IQgig-UWB+ for certification and manufacturing test support for ultra wideband products. The Robotics segment provides collaborative robotic arms, autonomous mobile robots, and advanced robotic control software for manufacturing, logistics, and industrial customers. The company was incorporated in 1960 and is headquartered in North Reading, Massachusetts.",0.00034988992486853943
